Disease,CommonTestAndProcedure
Lead poisoning,CT scan abdomen (Ct of abdomen)
Lead poisoning,Procedures on spleen (Spleen operation)
Lead poisoning,Bone marrow transplant (Bmt)
Lead poisoning,Removal of ectopic pregnancy
Viral warts,sComplete physical skin exam performed (ML)
Viral warts,Excision (Removal)
Viral warts,Excision of skin lesion
Viral warts,Pelvis exam
Viral warts,Wound care management
Viral warts,Rectal examination
Viral warts,Biopsy
Viral warts,Examination of foot
Hyperhidrosis,sComplete physical skin exam performed (ML)
Hyperhidrosis,Other diagnostic procedures (interview; evaluation; consultation)
Hyperhidrosis,Excision (Removal)
Hyperhidrosis,Other OR therapeutic nervous system procedures
Hyperhidrosis,Prostate specific antigen measurement (Prostate specific antigen test)
Hyperhidrosis,Corneal transplant
Hyperhidrosis,Procedures on spleen (Spleen operation)
Hyperhidrosis,Removal of ectopic pregnancy
Stroke,sRadiographic imaging procedure
Stroke,Hematologic tests (Blood test)
Stroke,Complete blood count (Cbc)
Stroke,X-ray computed tomography (Scan ct)
Stroke,Electrocardiogram
Stroke,Glucose measurement (Glucose level)
Stroke,Electrolytes panel
Stroke,Kidney function tests (Kidney function test)
Pilonidal cyst,sWound care management
Pilonidal cyst,Complete physical skin exam performed (ML)
Pilonidal cyst,Incision and drainage (I d)
Pilonidal cyst,Excision (Removal)
Pilonidal cyst,Rectal examination
Pilonidal cyst,Culture wound
Pilonidal cyst,Other OR therapeutic procedures on skin and breast
Pilonidal cyst,Physical therapy exercises; manipulation; and other procedures
Crushing injury,sRadiographic imaging procedure
Crushing injury,Plain x-ray (X ray)
Crushing injury,Application of splint (Splinting)
Crushing injury,Wound care management
Crushing injury,Suturing of wound
Crushing injury,Prothrombin time assay (Prothrombin time)
Crushing injury,Incision and drainage (I d)
Crushing injury,Occupational therapy assessment (Speech therapy)
Normal pressure hydrocephalus,sRadiographic imaging procedure
Normal pressure hydrocephalus,Magnetic resonance imaging (Mri)
Normal pressure hydrocephalus,Other diagnostic procedures (interview; evaluation; consultation)
Normal pressure hydrocephalus,Physical therapy exercises (Exercises)
Normal pressure hydrocephalus,Other OR therapeutic nervous system procedures
Normal pressure hydrocephalus,Psychotherapy
Normal pressure hydrocephalus,Insertion; replacement; or removal of extracranial ventricular shunt
Normal pressure hydrocephalus,Diagnostic spinal tap (Spinal tap)
Alopecia,sComplete physical skin exam performed (ML)
Alopecia,Lipid panel
Alopecia,Other therapeutic procedures
Alopecia,Biopsy
Alopecia,Excision (Removal)
Alopecia,Other diagnostic procedures on skin and subcutaneous tissue
Alopecia,Excision of skin lesion
Alopecia,Ophthalmic examination and evaluation (Eye exam)
Hashimoto thyroiditis,sHematologic tests (Blood test)
Hashimoto thyroiditis,Complete physical skin exam performed (ML)
Hashimoto thyroiditis,Lipid panel
Hashimoto thyroiditis,Biopsy
Hashimoto thyroiditis,Ultrasonography (Ultrasound)
Hashimoto thyroiditis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Hashimoto thyroiditis,Examination of foot
Hashimoto thyroiditis,Magnetic resonance imaging (Mri)
Flat feet,sExamination of foot
Flat feet,Plain x-ray (X ray)
Flat feet,Complete physical skin exam performed (ML)
Flat feet,Physical therapy exercises (Exercises)
Flat feet,Rectal examination
Flat feet,Other non-OR therapeutic procedures on musculoskeletal system
Flat feet,Prophylactic vaccinations and inoculations
Flat feet,Bone density scan
Nonalcoholic liver disease (NASH),sHematologic tests (Blood test)
Nonalcoholic liver disease (NASH),Complete blood count (Cbc)
Nonalcoholic liver disease (NASH),Glucose measurement (Glucose level)
Nonalcoholic liver disease (NASH),Lipid panel
Nonalcoholic liver disease (NASH),Electrolytes panel
Nonalcoholic liver disease (NASH),X-ray computed tomography (Scan ct)
Nonalcoholic liver disease (NASH),Intravenous fluid replacement
Nonalcoholic liver disease (NASH),Other diagnostic procedures (interview; evaluation; consultation)
Hemarthrosis,sRadiographic imaging procedure
Hemarthrosis,Plain x-ray (X ray)
Hemarthrosis,Other therapeutic procedures
Hemarthrosis,Physical therapy exercises (Exercises)
Hemarthrosis,Application of splint (Splinting)
Hemarthrosis,Prothrombin time assay (Prothrombin time)
Hemarthrosis,Arthrocentesis
Hemarthrosis,Other non-OR therapeutic procedures on musculoskeletal system
Pelvic organ prolapse,sPelvis exam
Pelvic organ prolapse,Urinalysis
Pelvic organ prolapse,Examination of breast
Pelvic organ prolapse,Rectal examination
Pelvic organ prolapse,Mammography (Mammogram)
Pelvic organ prolapse,Other non-OR therapeutic procedures; female organs
Pelvic organ prolapse,Ultrasonography (Ultrasound)
Pelvic organ prolapse,Pap smear
Fracture of the arm,sRadiographic imaging procedure
Fracture of the arm,Plain x-ray (X ray)
Fracture of the arm,Application of splint (Splinting)
Fracture of the arm,Orthopedic casting
Fracture of the arm,Physical therapy exercises (Exercises)
Fracture of the arm,Traction; splints; and other wound care
Fracture of the arm,CAT scan of head (Head ct)
Fracture of the arm,Suturing of wound
Coagulation (bleeding) disorder,sHematologic tests (Blood test)
Coagulation (bleeding) disorder,Complete blood count (Cbc)
Coagulation (bleeding) disorder,Glucose measurement (Glucose level)
Coagulation (bleeding) disorder,Electrolytes panel
Coagulation (bleeding) disorder,Prothrombin time assay (Prothrombin time)
Coagulation (bleeding) disorder,Kidney function tests (Kidney function test)
Coagulation (bleeding) disorder,Intravenous fluid replacement
Coagulation (bleeding) disorder,Electrocardiogram
Intracranial hemorrhage,sRadiographic imaging procedure
Intracranial hemorrhage,X-ray computed tomography (Scan ct)
Intracranial hemorrhage,Hematologic tests (Blood test)
Intracranial hemorrhage,Complete blood count (Cbc)
Intracranial hemorrhage,CAT scan of head (Head ct)
Intracranial hemorrhage,Intravenous fluid replacement
Intracranial hemorrhage,Kidney function tests (Kidney function test)
Intracranial hemorrhage,Glucose measurement (Glucose level)
Hyperkalemia,sHematologic tests (Blood test)
Hyperkalemia,Complete blood count (Cbc)
Hyperkalemia,Electrocardiogram
Hyperkalemia,Electrolytes panel
Hyperkalemia,Kidney function tests (Kidney function test)
Hyperkalemia,Radiographic imaging procedure
Hyperkalemia,Intravenous fluid replacement
Hyperkalemia,Glucose measurement (Glucose level)
Cornea infection,sOphthalmic examination and evaluation (Eye exam)
Cornea infection,Other therapeutic procedures on eyelids; conjunctiva; cornea
Cornea infection,Ophthalmologic and otologic diagnosis and treatment
Cornea infection,Corneal transplant
Cornea infection,Other OR therapeutic nervous system procedures
Abscess of the lung,sRadiographic imaging procedure
Abscess of the lung,X-ray computed tomography (Scan ct)
Abscess of the lung,Intravenous fluid replacement
Abscess of the lung,Plain x-ray (X ray)
Abscess of the lung,Physical therapy exercises (Exercises)
Abscess of the lung,Cardiac monitoring (Cardiac monitor)
Abscess of the lung,Other OR therapeutic nervous system procedures
Abscess of the lung,Occupational therapy assessment (Speech therapy)
Dengue fever,sHematologic tests (Blood test)
Dengue fever,Corneal transplant
Dengue fever,Transurethral resection of prostate (TURP) (Turp)
Dengue fever,Coronary thrombolysis
Dengue fever,Control of epistaxis
Dengue fever,CT scan abdomen (Ct of abdomen)
Dengue fever,Procedures on spleen (Spleen operation)
Dengue fever,Bone marrow transplant (Bmt)
Chronic sinusitis,sX-ray computed tomography (Scan ct)
Chronic sinusitis,Other diagnostic procedures (interview; evaluation; consultation)
Chronic sinusitis,Diagnostic procedures on nose; mouth and pharynx
Chronic sinusitis,Influenzavirus antibody assay
Chronic sinusitis,Other diagnostic procedures on skin and subcutaneous tissue
Chronic sinusitis,Other OR therapeutic procedures on nose; mouth and pharynx
Chronic sinusitis,Ophthalmologic and otologic diagnosis and treatment
Chronic sinusitis,Tracheoscopy and laryngoscopy with biopsy
Cholesteatoma,sOphthalmologic and otologic diagnosis and treatment
Cholesteatoma,Excision (Removal)
Cholesteatoma,Other diagnostic procedures (interview; evaluation; consultation)
Cholesteatoma,Wound care management
Cholesteatoma,Lipid panel
Cholesteatoma,Other therapeutic ear procedures
Cholesteatoma,Prostate specific antigen measurement (Prostate specific antigen test)
Cholesteatoma,Biopsy
Volvulus,sComplete blood count (Cbc)
Volvulus,Hematologic tests (Blood test)
Volvulus,Radiographic imaging procedure
Volvulus,Kidney function tests (Kidney function test)
Volvulus,Electrolytes panel
Volvulus,Glucose measurement (Glucose level)
Volvulus,Plain x-ray (X ray)
Volvulus,Liver function tests (Liver test)
Injury to the finger,sRadiographic imaging procedure
Injury to the finger,Plain x-ray (X ray)
Injury to the finger,Application of splint (Splinting)
Injury to the finger,Wound care management
Injury to the finger,Suturing of wound
Injury to the finger,Physical therapy exercises (Exercises)
Injury to the finger,Culture wound
Injury to the finger,Traction; splints; and other wound care
Poisoning due to analgesics,sHematologic tests (Blood test)
Poisoning due to analgesics,Complete blood count (Cbc)
Poisoning due to analgesics,Kidney function tests (Kidney function test)
Poisoning due to analgesics,Urinalysis
Poisoning due to analgesics,Intravenous fluid replacement
Poisoning due to analgesics,Electrolytes panel
Poisoning due to analgesics,Glucose measurement (Glucose level)
Poisoning due to analgesics,Toxicology screen
Atrial fibrillation,sHematologic tests (Blood test)
Atrial fibrillation,Electrocardiogram
Atrial fibrillation,Complete blood count (Cbc)
Atrial fibrillation,Glucose measurement (Glucose level)
Atrial fibrillation,Electrolytes panel
Atrial fibrillation,Intravenous fluid replacement
Atrial fibrillation,Cardiac enzymes measurement (Cardiac enzymes test)
Atrial fibrillation,Kidney function tests (Kidney function test)
Pinworm infection,sRectal examination
Pinworm infection,Other diagnostic procedures on skin and subcutaneous tissue
Pinworm infection,Ophthalmologic and otologic diagnosis and treatment
Pinworm infection,Corneal transplant
Pinworm infection,Procedures on spleen (Spleen operation)
Pinworm infection,Removal of ectopic pregnancy
Pinworm infection,Tracheostomy; temporary and permanent
Pinworm infection,Diagnostic endocrine procedures
Urethral valves,sRadiographic imaging procedure
Urethral valves,Urinalysis
Urethral valves,Ultrasonography (Ultrasound)
Urethral valves,X-ray computed tomography (Scan ct)
Urethral valves,Other diagnostic procedures (interview; evaluation; consultation)
Urethral valves,Other therapeutic procedures on eyelids; conjunctiva; cornea
Urethral valves,Nephrotomy and nephrostomy
Urethral valves,Indwelling catheter
Open wound of the neck,sWound care management
Open wound of the neck,Complete physical skin exam performed (ML)
Open wound of the neck,Debridement of wound; infection or burn
Open wound of the neck,Excision (Removal)
Open wound of the neck,Other diagnostic procedures (interview; evaluation; consultation)
Open wound of the neck,Traction; splints; and other wound care
Open wound of the neck,Microscopic examination (bacterial smear; culture; toxicology)
Open wound of the neck,Blood culture
Achalasia,sRadiographic imaging procedure
Achalasia,Plain x-ray (X ray)
Achalasia,Hematologic tests (Blood test)
Achalasia,Complete blood count (Cbc)
Achalasia,Electrocardiogram
Achalasia,Kidney function tests (Kidney function test)
Achalasia,Cardiac enzymes measurement (Cardiac enzymes test)
Achalasia,Electrolytes panel
Conductive hearing loss,sOphthalmologic and otologic diagnosis and treatment
Conductive hearing loss,Other diagnostic procedures (interview; evaluation; consultation)
Conductive hearing loss,Magnetic resonance imaging (Mri)
Conductive hearing loss,Excision (Removal)
Conductive hearing loss,Other therapeutic ear procedures
Conductive hearing loss,Occupational therapy assessment (Speech therapy)
Conductive hearing loss,Other therapeutic procedures
Conductive hearing loss,Psychological and psychiatric evaluation and therapy
Abdominal hernia,sComplete physical skin exam performed (ML)
Abdominal hernia,X-ray computed tomography (Scan ct)
Abdominal hernia,Wound care management
Abdominal hernia,Other hernia repair
Abdominal hernia,Pelvis exam
Abdominal hernia,Other diagnostic procedures (interview; evaluation; consultation)
Abdominal hernia,Lipid panel
Abdominal hernia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Cerebral palsy,sPhysical therapy exercises (Exercises)
Cerebral palsy,Other diagnostic procedures (interview; evaluation; consultation)
Cerebral palsy,Occupational therapy assessment (Speech therapy)
Cerebral palsy,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
Cerebral palsy,Other therapeutic procedures
Cerebral palsy,Magnetic resonance imaging (Mri)
Cerebral palsy,Electroencephalogram (EEG) (Eeg)
Cerebral palsy,Bone density scan
Marijuana abuse,sMental health counseling
Marijuana abuse,Psychotherapy
Marijuana abuse,Urinalysis
Marijuana abuse,Psychological and psychiatric evaluation and therapy
